energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization,band_gap,sgr,mp_id,formula,URL,num_sites,cell_volume,weight,magnetization_T
-6.2298728472,-155.74682118,6.0495934540949055,-2.2229810853500007,0.343513,0.0,47,mp-20897,Ba4Y2Cu6O13,https://materialsproject.org/materials/mp-20897,25,361.33229717345614,1316.3879,0.011079338280946744
-6.066750310833334,-72.80100373,6.175013579886063,-2.209313916458333,0.1444426,0.0,123,mp-1214585,Ba2Pr(CuO2)3,https://materialsproject.org/materials/mp-1214585,12,188.82937497609626,702.19605,0.008914626850457052
-7.223902599999999,-130.0302468,5.659254885940309,-2.670823099305556,8.98794445,0.8812999999999995,51,mp-542205,BaYFe2O5,https://materialsproject.org/materials/mp-542205,18,245.2521543922782,835.8397,0.4270954807798678
-6.61409224923077,-85.98319924,6.0025452483784285,-2.33644141625,8.0000561,0.0,47,mvc-1294,Ba2YCo3O7,https://materialsproject.org/materials/mvc-1294,13,180.46700038762964,652.355235,0.5166217190580737
-6.7871168292307695,-88.23251878,6.781488410482644,-2.1859338277884626,6.947515400000001,0.03730000000000011,47,mp-19813,Ba2GdCu3O7,https://materialsproject.org/materials/mp-19813,13,179.86150228765234,734.5378000000001,0.45016189373569143
-6.927406526923077,-90.05628485,6.726318185467727,-2.2387849047115393,9.4104791,0.0,47,mp-1214814,Ba2GdCoCu2O7,https://materialsproject.org/materials/mp-1214814,13,180.1979800908008,729.9249950000001,0.6086102236937226
-6.0821882658333335,-72.98625919,6.262487951027823,-2.2263006950000004,6e-07,0.0,123,mp-614981,Ba2Nd(CuO2)3,https://materialsproject.org/materials/mp-614981,12,187.07593248375593,705.5304,3.737754381709672e-08
-6.423982509615384,-167.02354525,6.3243498075230935,-2.293186082307693,3.2e-06,0.0,42,mp-1228381,Ba3LaY2(Cu3O7)2,https://materialsproject.org/materials/mp-1228381,26,350.24979745328113,1333.96577,1.0647545706908061e-07
-6.224230317999999,-155.60575795,5.978681540892433,-2.2173385561500005,5e-07,0.0,69,mp-1228151,Ba4Y2Cu6O13,https://materialsproject.org/materials/mp-1228151,25,365.61798530037214,1316.3879,1.5937488363688316e-08
-6.237044064230768,-162.16314567,6.301880701222668,-2.180214875096155,0.33454459999999997,0.0,69,mp-1228152,Ba4Y2Cu5PdO14,https://materialsproject.org/materials/mp-1228152,26,362.37992864702784,1375.2613000000001,0.010758886266870648
-6.356774023846151,-82.63806231,6.754290073639152,-2.047343121634616,5.8310930999999995,0.0,47,mp-622211,Ba2EuCu3O7,https://materialsproject.org/materials/mp-622211,13,179.28621227216883,729.2518,0.37903604421662995
-6.248417541666666,-74.9810105,5.883749155893767,-2.250672589375,2.7000000000000004e-06,0.0,123,mp-22215,Ba2Y(CuO2)3,https://materialsproject.org/materials/mp-22215,12,183.50084395202484,650.19425,1.714759137246135e-07
-6.092702480833334,-73.11242977,6.3609441938078435,-2.2408771154166667,5.5e-06,0.0,123,mp-622576,Ba2Sm(CuO2)3,https://materialsproject.org/materials/mp-622576,12,185.77744356001406,711.6484,3.4502227515243056e-07
-6.1032974241666675,-73.23956909,6.171579042116116,-2.2339518566666667,1.86e-05,0.0,123,mp-1228413,Ba2La(CuO2)3,https://materialsproject.org/materials/mp-1228413,12,188.39574908936393,700.1938700000001,1.150586495806704e-06
-6.865705575,-123.58270035,5.986254193771978,-2.421700858749998,6.53798015,0.0,51,mp-1182125,BaYCo2O5,https://materialsproject.org/materials/mp-1182125,18,235.28181077572006,848.19248,0.3238416259148937
-7.456705161538461,-96.9371671,5.5749166686342315,-2.6615763049330767,13.3833605,0.0,47,mvc-1293,Ba2YMn3O7,https://materialsproject.org/materials/mvc-1293,13,190.73989643856194,640.369785,0.817713299911304
-5.981420989285715,-83.73989385,6.52467369856683,-2.061065475535714,6.14e-05,0.0,123,mp-505315,Ba2LaCu3O8,https://materialsproject.org/materials/mp-505315,14,186.34410999034316,732.19267,3.839990311860393e-06
-6.3265165157692325,-164.48942941,6.135682241275204,-2.2485839066346163,3.3716322,0.0,12,mp-1228213,Ba4Y2FeCu5O14,https://materialsproject.org/materials/mp-1228213,26,358.5083500748534,1324.6863,0.1096019661462386
-7.559243359285714,-105.82940703,5.7623521292208135,-2.7736001749999994,8.999998699999999,0.0,123,mp-1239473,Ba2YCr3O8,https://materialsproject.org/materials/mp-1239473,14,186.60279494456753,647.5433499999999,0.5620846559876596
-7.52741837,-97.85643881,5.630681396985973,-2.698757647788462,10.9999921,0.1715,47,mvc-1296,Ba2YCr3O7,https://materialsproject.org/materials/mvc-1296,13,186.2480418466164,631.54395,0.6883005005583841
-5.835537922307693,-75.86199299,6.7933510336497624,-2.401195555096155,0.0002405,0.0,47,mp-1214708,Ba2ErZn2CuO7,https://materialsproject.org/materials/mp-1214708,13,182.90475360619678,748.2728000000001,1.53238367103087e-05
-6.031202423846153,-78.40563151,6.433445333396714,-2.13438996221154,0.011335600000000001,0.0,99,mp-1228519,Ba2LaCu3O7,https://materialsproject.org/materials/mp-1228519,13,184.85691933164443,716.1932700000001,0.0007146382029596732
-6.217253806923077,-80.82429949,6.8252659934567,-2.2577063885576933,2.4417872000000003,0.0,47,mp-1214693,Ba2DyCoCu2O7,https://materialsproject.org/materials/mp-1214693,13,178.86288704347322,735.1749950000001,0.15909810391627338
-6.085758773999999,-91.28638161,5.936250640512718,-2.050754635333334,0.0,0.0,65,mp-6790,Ba2Y(CuO2)4,https://materialsproject.org/materials/mp-6790,15,208.60453528130617,745.7390499999999,0.0
-6.991077187142857,-97.87508062,5.089370712659287,-2.6462696864285715,14.9624511,0.0,123,mp-1208510,Sr2YFe3O8,https://materialsproject.org/materials/mp-1208510,14,182.60881025355343,559.6760499999999,0.9549012122336186
-6.069223675,-72.83068409999998,6.11790786591753,-2.2374433345833338,3e-07,0.0,99,mp-1227431,BaSrSm(CuO2)3,https://materialsproject.org/materials/mp-1227431,12,179.66591864119337,661.9414,1.9459558374841955e-08
-7.323981915,-131.83167447,5.796982421611779,-2.630821113301112,7.0000072,0.2455000000000003,129,mp-42020,BaYMnCoO5,https://materialsproject.org/materials/mp-42020,18,240.67496154235224,840.20218,0.33895730903785193
-6.231814646,-62.31814646,5.0933601670531,-2.468024868375,8.0000007,0.8077999999999999,65,mp-1079306,Sr3Fe2O5,https://materialsproject.org/materials/mp-1079306,10,148.19156985938926,454.547,0.6291351554395842
-7.507210240769231,-97.59373313,5.542449491469108,-2.730818407788462,7.821697500000001,0.0,47,mvc-1304,Ba2YV3O7,https://materialsproject.org/materials/mvc-1304,13,188.2650933747119,628.3801500000001,0.4841819992351926
-6.03980014923077,-78.51740194,6.266369619988128,-2.17248387048077,2.3e-05,0.0,25,mp-1227458,BaSrPrCu3O7,https://materialsproject.org/materials/mp-1227458,13,177.14422166756756,668.4884500000001,1.5131370769287005e-06
-6.048490963076923,-78.63038252,6.344052253547504,-2.1826043675961553,0.0010505,0.0,25,mp-1227498,BaSrNdCu3O7,https://materialsproject.org/materials/mp-1227498,13,175.84785603527948,671.8228,6.962038275358778e-05
-6.6977267000000005,-120.55908059999999,6.1380806439582285,-2.3800222137500007,2.9999998,0.1633,129,mp-1227472,BaYCoCuO5,https://materialsproject.org/materials/mp-1227472,18,231.95788628953088,857.41809,0.15072646395486705
-6.077473806923077,-79.00715949,6.951037212413161,-2.2074713258653853,2.4e-06,0.0,47,mp-6616,Ba2HoCu3O7,https://materialsproject.org/materials/mp-6616,13,177.30910176317832,742.21812,1.5774573993105483e-07
-6.9898430864285706,-97.85780321,5.725199921828352,-2.610672685714285,14.888461900000001,0.0,123,mp-558860,Ba2YFe3O8,https://materialsproject.org/materials/mp-558860,14,191.16271463775172,659.0900499999999,0.9076618297411506
-6.075608159333331,-91.13412239,5.6725382321316244,-2.0566400406666663,0.0012862,0.0,38,mp-1227433,BaSrY(CuO2)4,https://materialsproject.org/materials/mp-1227433,15,203.75153852103875,696.0320499999999,7.356733705801446e-05
-6.124813763461537,-159.24515785,6.3059849555127325,-2.174236588750001,0.0007013,0.0,115,mp-1228357,Ba4PrY(Cu3O7)2,https://materialsproject.org/materials/mp-1228357,26,364.5476738872982,1384.3891,2.2419552257307332e-05
-6.126655921153847,-159.29305395,6.327747694490509,-2.1760787464423084,2.49e-05,0.0,65,mp-1228182,Ba4PrY(Cu3O7)2,https://materialsproject.org/materials/mp-1228182,26,363.2939014148791,1384.3891,7.987643384779688e-07
-6.126139647692307,-159.27963084,6.285426798651015,-2.1755624729807703,4e-05,0.0,47,mp-1228301,Ba4PrY(Cu3O7)2,https://materialsproject.org/materials/mp-1228301,26,365.7400238268373,1384.3891,1.2745736329997516e-06
-6.080415774615385,-79.04540507,6.420496886630108,-2.18360331298077,1.17e-05,0.0,47,mp-622210,Ba2LaCu3O7,https://materialsproject.org/materials/mp-622210,13,185.2297269229679,716.1932700000001,7.361267551598442e-07
-5.9335619260714285,-166.13973393,6.549635065418014,-2.046604649151786,1.0486559,0.0,44,mp-1228702,Ba4Nd2Cu6NiO15,https://materialsproject.org/materials/mp-1228702,28,384.7980976162744,1517.7523999999999,0.03175978222978098
-5.313537226153846,-69.07598394,7.175344496793227,-1.6136203308653854,7.699999999999999e-06,0.0,47,mp-1147544,Ba2TlCu3O7,https://materialsproject.org/materials/mp-1147544,13,180.89659368547922,781.6711,4.96064060248321e-07
-6.239518185384616,-162.22747282,6.282675942006316,-2.182688996250001,0.0034256,0.0,47,mp-1228291,Ba4Y2Cu5PdO14,https://materialsproject.org/materials/mp-1228291,26,363.4876444259006,1375.2613000000001,0.00010983087017423749
-6.031262878333332,-72.37515454,5.524032147200908,-2.0335179260416667,0.0069682,0.0,115,mp-1228465,Ba2Y(CuO2)3,https://materialsproject.org/materials/mp-1228465,12,195.4501543325744,650.19425,0.00041549137899358547
-5.67809737,-73.81526581,7.048782174817621,-2.0426505754807702,6.979999999999999e-05,0.0,47,mp-1214570,Ba2YbCu3O7,https://materialsproject.org/materials/mp-1214570,13,176.76083240996866,750.3278,4.602002095339707e-06
-6.214899384400001,-155.37248461,5.742675902000997,-2.227250846549999,2.2e-06,0.0,42,mp-1228545,Ba2Sr2Y2Cu6O13,https://materialsproject.org/materials/mp-1228545,25,351.89739175545503,1216.9739,7.285914331939312e-08
-6.21656824,-80.81538712,6.86774048325611,-2.2599464143269232,2.4221601,0.0,47,mp-1214699,Ba2ErCoCu2O7,https://materialsproject.org/materials/mp-1214699,13,178.9073551506889,739.9339950000001,0.1577800458294963
-6.792938449444446,-122.27289209,6.149802850482738,-2.3489337331944444,3.00000015,0.0,123,mp-19759,BaYCo2O5,https://materialsproject.org/materials/mp-19759,18,229.02469570449074,848.19248,0.15265688251759676
-6.296375763846153,-163.70576986,6.528984286177504,-2.2841018455769238,0.0053675,0.0,42,mp-1228365,Ba3La3(Cu3O7)2,https://materialsproject.org/materials/mp-1228365,26,364.705255324343,1433.9650100000001,0.00017151711348684508
